Brand,Type,Reg_year,Reg_month,Days_since_registration,Coe_left,Depreciation,Mileage,Road_Tax,Dereg_Value,COE,Engine_Capacity,Curb_Weight,Manufactured,Transmission,OMV,ARF,Power,Number_of_Owners,Price
Volkswagen,Hatchback,2017,4,2843,2136,10660,61000,624,38432,52000,1395,1249,2016,Auto,20409,10573,92,1,67800
Toyota,Mpv,2015,12,3344,1637,14230,57000,1196,46864,58801,1986,1620,2015,Auto,26876,29627,112,2,78800
Jaguar,Luxury Sedan,2017,8,2710,2272,14970,42000,1212,96652,52751,1999,1873,2014,Auto,62826,85087,177,2,135800
Mercedes-Benz,Luxury Sedan,2017,2,2896,2082,15430,46525,740,55762,46229,1595,1425,2016,Auto,37206,39089,115,1,107800
Honda,Luxury Sedan,2007,5,6459,348,9330,139000,1694,5062,26246,1998,1370,2007,Auto,21236,23360,114,2,9000
Honda,Suv,2015,5,3555,1425,11360,121800,682,32433,68589,1496,1190,2014,Auto,18556,8556,96,2,48800
Kia,Mid-Sized Sedan,2019,11,1888,3092,8430,12000,738,33806,27000,1591,1287,2019,Auto,14529,14529,93,1,78800
Volkswagen,Hatchback,2015,8,3452,1531,12120,46000,624,33263,56209,1395,1249,2014,Auto,22709,13793,90,1,57800
Mercedes-Benz,Hatchback,2013,3,4342,274,14400,112000,740,23702,63000,1595,1425,2012,Auto,27947,22947,115,2,36800
Volkswagen,Hatchback,2009,9,5620,3005,8590,170000,744,24169,29328,1390,1286,2009,Auto,24161,24161,118,4,70800
Honda,Mpv,2013,7,4200,754,12010,102000,978,27349,77000,1799,1370,2013,Auto,18024,18024,103,1,34800
Mazda,Mid-Sized Sedan,2017,1,2927,2052,9030,80000,682,34384,48000,1496,1310,2016,Auto,14777,9777,88,2,55800
Honda,Stationwagon,2020,2,1819,3160,8980,51000,682,37839,35010,1496,1130,2019,Auto,19962,9962,95,1,82900
Hyundai,Hatchback,2019,9,1964,3017,9770,31800,600,39880,31917,1353,1240,2019,Auto,17951,17951,95,1,89800
Subaru,Suv,2017,5,2800,2179,12810,71220,1210,45419,53001,1998,1682,2017,Auto,18274,18274,177,1,85800
Honda,Hatchback,2018,5,2452,2527,11950,65000,684,51009,37010,1498,1322,2017,Auto,29833,33767,127,1,99800
Toyota,Mid-Sized Sedan,2016,5,3192,1787,9740,50000,742,35810,47300,1598,1205,2016,Auto,17982,17982,90,1,56800
Lexus,Luxury Sedan,2015,11,3358,1623,16870,77700,1792,60098,57501,2494,1615,2015,Auto,40884,49238,135,1,99800
Toyota,Mid-Sized Sedan,2016,5,3192,1787,9740,52000,742,35810,47300,1598,1205,2016,Auto,17982,17982,90,1,56800
Mazda,Hatchback,2020,4,1751,3227,8430,5300,682,34280,38000,1496,1060,2019,Auto,18204,8204,81,1,78800
Toyota,Mid-Sized Sedan,2016,6,3155,1828,9860,51000,742,39506,53694,1598,1205,2016,Auto,16800,16800,90,1,57800
Toyota,Mpv,2011,4,5025,3490,7520,136000,1802,38985,40714,2362,1750,2011,Auto,37052,37052,125,2,72000
Toyota,Mid-Sized Sedan,2016,6,3155,1828,9880,54000,742,39506,53694,1598,1205,2016,Auto,16800,16800,90,1,57888
Hyundai,Mid-Sized Sedan,2019,8,1980,3002,7980,42121,738,35750,31917,1591,1345,2019,Auto,12631,12631,93,2,72000
Mercedes-Benz,Luxury Sedan,2012,10,4496,120,18570,82000,740,26402,73501,1595,1485,2012,Auto,30136,30136,115,2,39900
Toyota,Mid-Sized Sedan,2017,3,2869,2111,10150,59200,742,43635,49430,1598,1215,2016,Auto,19990,19990,90,1,68800
Honda,Mid-Sized Sedan,2018,4,2469,2510,8940,37700,684,38125,38000,1497,1078,2018,Auto,15908,15908,88,1,69600
Mercedes-Benz,Luxury Sedan,2013,1,4401,214,17300,170000,974,40652,86889,1796,1615,2012,Auto,50742,50742,135,1,53000
Kia,Mpv,2009,10,5572,1236,7360,163000,1452,12730,18751,1998,1597,2009,Auto,17209,17209,108,5,25000
Mercedes-Benz,Luxury Sedan,2012,8,4548,70,33520,95000,3164,62924,86889,3498,1975,2012,Auto,95928,95928,225,2,88000
Mitsubishi,Hatchback,2017,8,2711,2271,8240,55000,506,30404,42801,1193,940,2016,Auto,14804,5000,59,2,53800
Land Rover,Suv,2017,5,2800,2179,26800,69000,2380,126523,55000,2995,2214,2016,Auto,84912,124842,250,2,222800
Toyota,Luxury Sedan,2009,1,5864,2760,6440,128088,2129,23902,31553,2362,1540,2008,Auto,27261,27261,123,5,48800
Audi,Sports Car,2010,11,5201,3430,9660,130000,1313,35954,38216,1984,1735,2010,Auto,57024,57024,155,3,90888
Kia,Mid-Sized Sedan,2018,5,2451,2528,8080,41000,738,35256,38510,1591,1295,2017,Auto,11361,11361,95,1,61800
Audi,Luxury Sedan,2014,9,3774,1208,15270,104000,1194,50154,74801,1984,1565,2013,Auto,38197,40476,132,3,70888
Honda,Mid-Sized Sedan,2018,7,2395,2558,11760,56000,684,47312,37000,1498,1324,2018,Auto,26476,29067,127,1,98000
Toyota,Mid-Sized Sedan,2016,1,3298,1682,8660,36489,242,26655,28002,1598,1205,2015,Auto,19589,19589,90,2,49800
Mercedes-Benz,Suv,2019,12,1885,3095,19910,24511,1202,74791,42020,1991,1735,2019,Auto,45235,55329,155,1,196800
Subaru,Suv,2016,3,3229,1751,13340,80000,1208,33750,47604,1995,1566,2016,Auto,15515,15515,110,2,71888
Volkswagen,Hatchback,2015,2,3641,1338,13890,115000,624,28555,62002,1395,1249,2014,Auto,22719,8807,90,3,55555
Land Rover,Suv,2017,5,2829,2150,16380,49809,1212,79068,54556,1999,1841,2017,Auto,50339,62611,177,2,127998
Honda,Suv,2007,10,6326,118,10910,150149,1369,6704,25226,1799,1410,2007,Auto,19569,21526,103,4,14500
Ferrari,Sports Car,2013,4,4321,295,229890,30000,4728,270803,95501,4497,1565,2013,Auto,460829,460829,416,2,648000
Honda,Mid-Sized Sedan,2008,5,6094,347,7900,160000,1271,7594,19356,1799,1219,2008,Auto,21092,21092,103,4,15500
Toyota,Mid-Sized Sedan,2008,4,6141,300,7370,197000,1039,7085,19328,1598,1195,2008,Auto,16994,18694,80,6,13500
Honda,Stationwagon,2019,7,2032,2920,8580,23000,682,29723,28589,1496,1130,2019,Auto,18791,8791,97,1,73800
Jaguar,Luxury Sedan,2016,8,3103,1850,17900,41100,1212,115932,57508,1999,1804,2015,Auto,79478,115061,177,1,149800
Kia,Mid-Sized Sedan,2020,3,1780,3199,8900,15000,738,43521,32999,1591,1287,2019,Auto,19406,19406,93,1,87800
Bmw,Luxury Sedan,2014,11,3715,1266,18780,138483,1210,65003,73900,1997,1615,2014,Auto,52258,61065,180,1,95888
Toyota,Suv,2018,10,2305,2675,13960,45442,1210,51954,31301,1998,1695,2018,Auto,33306,38629,170,1,121800
Mercedes-Benz,Hatchback,2017,6,2777,2206,12900,59600,740,46010,51765,1595,1395,2017,Auto,23295,19613,90,1,87800
Mercedes-Benz,Luxury Sedan,2017,2,2897,2081,13840,80600,740,49664,50951,1595,1430,2016,Auto,28839,27375,90,3,92800
Mercedes-Benz,Luxury Sedan,2018,4,2491,2489,19340,69953,1202,86898,42322,1991,1615,2018,Auto,58503,77306,155,1,170800
Bmw,Sports Car,2015,9,3411,1571,21530,98730,1210,82235,61001,1997,1700,2014,Auto,59972,79950,180,3,132800
Audi,Suv,2010,3,5427,1380,12610,152000,1433,13429,17708,1984,1740,2009,Auto,39396,39396,155,3,47800
Volvo,Hatchback,2016,7,3127,1825,10450,70000,684,40882,52301,1498,1450,2016,Auto,22879,19031,90,1,62688
Hyundai,Mid-Sized Sedan,2009,11,5545,1240,6400,156000,886,10412,15287,1591,1264,2009,Auto,11400,11400,89,2,21800
