Brand,Type,Reg_year,Reg_month,Days_since_registration,Coe_left,Depreciation,Mileage,Road_Tax,Dereg_Value,COE,Engine_Capacity,Curb_Weight,Manufactured,Transmission,OMV,ARF,Power,Number_of_Owners,Price
Subaru,Hatchback,2018,12,2224,2756,8220,18157,708,20466,14809,1995,1438,2018,Auto,13189,13189,115,1,68800
Toyota,Suv,2018,4,2469,2510,21370,69000,4902,91614,44000,4608,2530,2017,Auto,61650,82970,234,1,188800
Mercedes-Benz,Hatchback,2017,4,2840,2139,12960,70000,740,47281,50621,1595,1395,2017,Auto,25996,23395,115,2,87800
Nissan,Suv,2017,6,2781,2202,10220,27500,508,37469,45201,1197,1285,2017,Auto,18583,13583,85,1,68500
Volkswagen,Mid-Sized Sedan,2014,8,3830,1124,10570,120000,620,25558,62890,1390,1417,2014,Auto,18703,8703,90,2,37800
Mitsubishi,Suv,2019,7,2017,2936,11540,39000,1210,42586,34000,1998,1480,2019,Auto,19919,19919,110,1,103800
Mercedes-Benz,Luxury Sedan,2009,10,5591,1217,13010,148000,1169,12535,18751,1796,1650,2009,Auto,53009,53009,150,1,43500
Mitsubishi,Suv,2015,9,3410,1572,11530,98000,1636,40325,60789,2360,1530,2015,Auto,20096,20135,123,1,59800
Honda,Mid-Sized Sedan,2019,6,2064,2915,8490,27000,684,34274,26301,1497,1096,2019,Auto,17635,17635,88,1,76800
Ferrari,Sports Car,2018,12,2224,2756,85280,4800,3796,390693,30851,3902,1565,2018,Auto,287696,489853,493,2,890000
Honda,Suv,2016,6,3155,1828,10330,80000,682,31119,47020,1496,1190,2016,Auto,20054,10076,96,1,56800
Honda,Suv,2020,7,1647,3305,9390,21073,682,47191,33520,1496,1191,2020,Auto,21472,22061,96,1,96888
Suzuki,Hatchback,2010,8,5271,1538,7110,65046,748,13582,16095,1490,1060,2010,Auto,12656,12656,74,2,30000
Mini,Hatchback,2016,6,3135,1848,12900,88000,508,36166,55200,1198,1175,2016,Auto,20669,10937,75,1,70800
Subaru,Sports Car,2006,2,6930,1700,14070,4000,1809,26393,56436,1994,1395,2005,Manual,18817,20699,165,6,65800
Lexus,Luxury Sedan,2006,5,6831,1801,11680,180000,3570,22784,46048,2994,1660,2006,Auto,53569,58926,170,1,57800
Mazda,Hatchback,2019,1,2207,2772,9260,24600,682,31920,25920,1496,1329,2018,Auto,16257,16257,88,2,78588
Audi,Sports Car,2013,4,4310,305,15980,104000,1194,42956,65001,1984,1550,2012,Auto,50884,58592,155,1,58800
Subaru,Hatchback,2019,10,1930,3051,10030,12900,1208,44928,41361,1995,1438,2018,Auto,13746,13746,115,1,90800
Mercedes-Benz,Luxury Sedan,2018,6,2414,2569,17970,58000,1202,80347,37605,1991,1605,2018,Auto,55451,71812,135,2,162500
Hyundai,Suv,2016,12,2959,2021,10550,88240,1212,42521,46229,1999,1540,2016,Auto,21784,22498,114,1,69800
Volkswagen,Mpv,2020,9,1583,3397,13840,10448,1194,58864,36502,1984,1790,2020,Auto,34049,39669,162,1,148800
Rolls-Royce,Sports Car,2017,10,2673,2308,116650,2500,8004,629526,48005,6592,2560,2016,Auto,459377,798879,420,2,1138000
Suzuki,Hatchback,2008,7,6049,295,7600,110563,957,7134,19637,1586,1090,2008,Manual,12096,12096,92,5,13800
Bmw,Sports Car,2014,6,3873,1111,25780,35000,1210,65023,67334,1997,1700,2014,Auto,56392,68506,180,1,112800
Honda,Suv,2016,7,3106,1847,10270,80000,682,30172,44185,1496,1190,2016,Auto,19917,9917,96,1,57800
Bmw,Luxury Sedan,2017,12,2604,2376,16820,75000,1210,69707,53711,1998,1540,2017,Auto,42318,46246,135,1,132800
Mazda,Mid-Sized Sedan,2018,2,2534,2444,8420,62000,682,39520,42900,1496,1310,2017,Auto,14299,14299,88,3,63700
Mercedes-Benz,Hatchback,2019,10,1930,3051,13860,8800,586,53618,34000,1332,1405,2019,Auto,29676,33547,100,1,132800
Mercedes-Benz,Luxury Sedan,2014,11,3719,1262,17120,90998,740,35317,63880,1595,1430,2014,Auto,27318,20246,90,1,69500
Mercedes-Benz,Luxury Sedan,2015,1,3662,1318,17080,83000,740,44298,71990,1595,1425,2014,Auto,32861,28006,115,2,75900
Bentley,Sports Car,2016,9,3047,1934,66540,9233,3940,249070,57002,3993,2295,2015,Auto,177644,291760,373,3,499000
Subaru,Suv,2017,7,2744,2209,9960,20358,744,37807,42801,1600,1480,2017,Auto,15387,15387,84,2,68800
Lamborghini,Sports Car,2013,5,4261,354,99860,35000,5834,152625,91910,5204,1550,2012,Auto,244400,244400,412,5,320000
Honda,Suv,2016,7,3121,1832,10700,78000,682,35960,55200,1496,1190,2015,Auto,20272,10381,96,1,59800
Mini,Sports Car,2010,10,5208,3370,7990,72000,816,29747,32190,1598,1205,2010,Auto,26540,26540,90,3,73800
Kia,Mid-Sized Sedan,2017,7,2759,2194,9070,89000,738,35843,42801,1591,1295,2017,Auto,13002,13002,95,1,61800
Honda,Hatchback,2019,4,2113,2866,8390,31108,578,24998,26301,1318,1052,2019,Auto,15738,5738,73,1,68888
Hyundai,Mid-Sized Sedan,2020,2,1821,3158,8740,10000,738,43867,35010,1591,1345,2019,Auto,18025,18025,93,1,84800
Mazda,Luxury Sedan,2015,10,3379,1603,12660,85000,1210,39830,61010,1998,1454,2015,Auto,18608,18608,121,2,65018
Honda,Suv,2018,6,2405,2578,9970,49000,682,33554,34400,1496,1190,2018,Auto,21863,12609,96,1,76800
Mercedes-Benz,Luxury Sedan,2013,7,4220,734,14850,66000,740,32439,64839,1595,1485,2013,Auto,31746,31445,115,4,46800
Toyota,Mpv,2016,10,3012,1969,10700,68246,976,45443,56410,1798,1360,2016,Auto,19955,19955,105,1,67800
Hyundai,Mid-Sized Sedan,2018,6,2406,2577,8590,51358,738,34723,34110,1591,1345,2018,Auto,14162,14162,93,1,67800
Bmw,Luxury Sedan,2013,6,4251,733,16060,133000,1210,40697,66701,1997,1610,2013,Auto,41791,45508,135,1,55000
Volkswagen,Hatchback,2016,3,3236,1744,9540,68000,508,27296,45000,1197,1229,2015,Auto,18208,8208,81,1,49800
Mitsubishi,Mid-Sized Sedan,2020,3,1793,3184,7400,12000,506,32599,32999,1193,940,2019,Auto,13990,5000,59,1,67200
Hyundai,Mid-Sized Sedan,2009,4,5768,1038,7000,143000,959,7480,13088,1591,1264,2009,Auto,11802,11802,89,5,20000
Kia,Mid-Sized Sedan,2019,1,2218,2762,9070,28000,738,32937,25556,1591,1287,2018,Auto,18084,18084,93,1,77800
Toyota,Suv,2019,4,2129,2851,13550,50000,1210,55304,33689,1998,1695,2018,Auto,33306,38629,170,1,125300
Mazda,Hatchback,2018,11,2262,2718,9630,16294,682,34527,28199,1496,1329,2018,Auto,17987,17987,88,1,80800
Honda,Hatchback,2016,7,3122,1831,8920,41748,578,33452,52301,1317,1020,2016,Auto,14029,9029,73,1,50000
Kia,Mid-Sized Sedan,2015,12,3346,1635,9460,92000,738,35395,56001,1591,1295,2015,Auto,14640,14640,95,2,49800
Toyota,Mpv,2017,6,2799,2180,15680,66103,1638,64264,55000,2362,1820,2016,Auto,35579,41811,125,1,114800
Mini,Hatchback,2017,1,2927,2052,14440,38000,684,42679,56000,1499,1115,2016,Auto,23491,14888,100,1,88800
Mercedes-Benz,Luxury Sedan,2007,4,6504,2128,9500,206930,3573,30393,52008,2997,1600,2007,Auto,60662,66729,170,4,55500
Nissan,Suv,2016,10,3012,1969,11210,122000,1210,48865,56410,1997,1626,2016,Auto,23227,24518,106,1,72800
Toyota,Luxury Sedan,2009,8,5644,2879,6170,130000,1966,27989,35411,2362,1540,2009,Auto,29264,29264,123,3,48800
Toyota,Suv,2016,4,3207,1772,14090,78500,1196,45659,50089,1986,1610,2016,Auto,30993,30391,111,1,83800
Bmw,Suv,2017,8,2728,2254,14240,63113,684,54592,50001,1499,1430,2017,Auto,31845,31583,100,1,103800
Lexus,Luxury Sedan,2019,4,2130,2850,18130,19800,1784,66818,39401,2487,1620,2018,Auto,39999,47999,152,1,165800
Suzuki,Hatchback,2008,8,5999,810,8010,136347,957,7599,17099,1586,1090,2008,Manual,12248,12248,92,5,17800
Toyota,Mid-Sized Sedan,2009,8,5648,2879,6300,122514,890,20689,26175,1598,1195,2009,Auto,17853,17853,80,1,49800
Bmw,Sports Car,2013,3,4327,289,55330,85000,4568,88791,58090,4395,1870,2012,Auto,94681,142426,412,1,170800
Mazda,Mpv,2017,9,2687,2294,9860,63500,1210,43989,49000,1998,1532,2017,Auto,17537,17537,111,3,70800
Mazda,Mpv,2016,8,3099,1854,10650,35500,1210,45454,57501,1998,1535,2016,Auto,20747,21046,111,1,65500
Mitsubishi,Suv,2018,5,2436,2543,11620,40000,684,46824,37330,1499,1490,2018,Auto,25480,27672,120,1,94988
Mercedes-Benz,Hatchback,2016,1,3313,1668,12280,98000,740,38716,55399,1595,1395,2015,Auto,22896,19055,90,2,65800
Mercedes-Benz,Luxury Sedan,2016,2,3284,1696,15160,79000,740,39358,45002,1595,1430,2015,Auto,28046,26265,90,1,83800
Aston Martin,Sports Car,2017,6,2778,2205,40550,36052,5100,185998,50526,4735,1610,2015,Auto,130912,207642,320,2,348888
Lexus,Luxury Sedan,2018,5,2456,2523,15900,61000,1792,63955,39000,2494,1615,2017,Auto,40888,49244,135,1,134800
Bmw,Luxury Sedan,2011,7,4947,1784,9180,128000,1208,23191,23658,1995,1390,2011,Auto,30928,30928,100,4,45000
Honda,Hatchback,2019,2,2162,2816,6750,32000,78,11274,9301,1317,1030,2018,Auto,15440,5440,73,1,54888
Volvo,Suv,2016,10,3022,1959,22100,76000,1176,87355,56410,1969,2053,2016,Auto,57802,76044,187,2,156800
Toyota,Luxury Sedan,2016,12,2967,2013,10980,106746,1792,51222,46229,2494,1475,2016,Auto,30167,34234,133,1,77800
Hyundai,Mid-Sized Sedan,2009,7,5678,1119,10100,149819,886,9156,14920,1591,1264,2009,Auto,11278,8600,89,3,30998
Nissan,Suv,2015,2,3638,1341,11190,88205,508,28980,62002,1197,1285,2014,Auto,19382,9382,85,1,45998
Bmw,Suv,2018,10,2305,2675,20720,37000,1210,70796,31801,1998,1715,2018,Auto,50726,63307,185,2,183800
Subaru,Suv,2018,12,2221,2759,10840,48150,1208,33517,31809,1995,1591,2018,Auto,13438,13438,110,1,88800
Honda,Suv,2017,2,2892,2086,9650,90000,682,39301,48401,1496,1185,2016,Auto,20295,15413,96,1,63000
Honda,Mpv,2008,9,5979,829,8700,172011,1271,7599,16689,1799,1370,2008,Auto,19892,19892,103,3,19800
Jaguar,Luxury Sedan,2017,3,2861,2119,13480,44000,1212,63477,54000,1999,1585,2016,Auto,36255,42757,147,1,99800
Mercedes-Benz,Luxury Sedan,2016,10,3031,1950,14910,98000,740,46284,50000,1595,1430,2016,Auto,27886,26041,90,1,92800
Toyota,Suv,2019,7,2011,2942,13960,25339,1210,63216,42002,1998,1695,2019,Auto,35783,42097,170,1,134800
Bmw,Luxury Sedan,2015,11,3348,1633,16070,45300,1210,60369,60689,1997,1615,2015,Auto,41039,49455,135,2,96800
Toyota,Mid-Sized Sedan,2016,3,3254,1724,10490,81100,742,34093,43000,1598,1205,2015,Auto,19589,19589,90,1,59500
Toyota,Mid-Sized Sedan,2009,5,5742,2364,6920,122880,818,27244,41994,1496,1130,2008,Auto,15250,15250,81,1,44888
Mercedes-Benz,Luxury Sedan,2014,1,4038,942,18010,108189,740,36566,85000,1595,1430,2013,Auto,30161,24226,115,1,58800
Mercedes-Benz,Hatchback,2017,3,2891,2087,27720,35000,1202,76712,52807,1991,1555,2016,Auto,49934,61908,280,2,189900
Mazda,Mid-Sized Sedan,2017,8,2708,2274,9110,48000,682,36439,46489,1496,1310,2017,Auto,14934,9934,88,2,61800
Bmw,Suv,2019,6,2056,2927,13930,37056,684,63397,39728,1499,1430,2019,Auto,35730,42022,103,1,132800
Audi,Luxury Sedan,2018,4,2472,2507,14000,54339,1194,54987,37605,1984,1480,2018,Auto,33425,38795,140,1,115800
Mitsubishi,Suv,2019,9,1958,3023,11430,28000,1210,49313,36001,1998,1480,2019,Auto,24244,25942,110,1,107800
Volvo,Luxury Sedan,2017,12,2590,2390,10440,66000,684,44751,42339,1498,1558,2017,Auto,25458,22642,90,2,79800
Mitsubishi,Mid-Sized Sedan,2009,9,5606,1085,9670,120000,881,8328,13943,1584,1162,2009,Manual,12200,12200,79,2,28888
Volvo,Luxury Sedan,2017,4,2836,2143,15880,118000,1176,65276,54000,1969,1716,2017,Auto,37616,44663,187,1,115800
Skoda,Mid-Sized Sedan,2019,2,2179,2799,13460,38000,1194,46581,32200,1984,1577,2018,Auto,26501,29102,180,1,118000
Toyota,Mpv,2015,11,3355,1626,18410,124000,1792,65664,59889,2494,2075,2015,Auto,45427,55598,134,2,110000
Bmw,Sports Car,2021,5,1363,3615,46500,320,4568,177769,49778,4395,1970,2021,Auto,119609,187297,460,1,555000
Audi,Luxury Sedan,2015,12,3322,1659,14290,77000,976,59628,55001,1798,1645,2015,Auto,44560,49384,140,2,89800
Toyota,Luxury Sedan,2008,4,6118,323,8700,162009,1694,7751,20441,1998,1530,2008,Auto,26830,26830,108,4,16500
Honda,Stationwagon,2020,3,1769,3210,8840,13018,682,34874,31210,1496,1130,2019,Auto,19845,9845,95,1,82800
Lexus,Luxury Sedan,2016,10,3029,1952,16350,35000,1792,61525,55201,2494,1615,2016,Auto,36195,42673,135,1,108888
Infiniti,Sports Car,2017,8,2736,2217,15950,51000,1202,63297,49899,1991,1692,2017,Auto,36794,43512,155,2,120000
Audi,Suv,2016,8,3082,1900,13140,54951,624,53185,57903,1395,1480,2016,Auto,27630,30682,110,3,83800
Lexus,Luxury Sedan,2015,9,3421,1561,16010,63266,1792,60177,62101,2494,1615,2015,Auto,39966,47953,135,1,92600
Mazda,Mpv,2010,12,5158,3474,7440,126000,1672,38807,40714,2261,1780,2010,Auto,32907,32907,120,3,70888
Mitsubishi,Mid-Sized Sedan,2009,2,5817,2669,7480,106000,889,23683,32339,1499,1313,2009,Auto,20676,20676,80,4,54800
Mazda,Mpv,2015,2,3625,1354,11900,75000,1210,40322,75200,1998,1664,2014,Auto,18953,18953,111,2,53800
Toyota,Mpv,2019,5,2077,2902,20650,47000,3100,77790,42564,3456,2090,2017,Auto,47503,58505,206,1,193800
Mercedes-Benz,Sports Car,2020,1,1842,3137,20740,16000,1202,83246,37989,1991,1655,2018,Auto,55963,72734,135,1,215000
Infiniti,Luxury Sedan,2016,5,3187,1792,11950,123000,1202,47831,49000,1991,1644,2015,Auto,29932,33905,155,3,75800
Mercedes-Benz,Luxury Sedan,2018,7,2380,2573,14530,41000,740,46415,31001,1595,1430,2018,Auto,32949,38129,90,1,122800
Volkswagen,Sports Car,2010,6,5327,1483,9000,159044,682,13367,16438,1390,1285,2010,Auto,24363,24363,118,6,36600
Volvo,Luxury Sedan,2018,2,2547,2430,10710,23000,684,46034,36890,1498,1558,2017,Auto,26098,28538,90,1,85777
Subaru,Suv,2020,4,1759,3220,11950,8500,1208,40944,37989,1995,1591,2019,Auto,16322,16322,115,1,113777
Mitsubishi,Mid-Sized Sedan,2007,10,6309,114,8950,216176,1028,5809,22041,1584,1162,2007,Manual,11060,12166,79,3,11800
Mercedes-Benz,Suv,2020,1,1836,3143,13430,19000,740,54359,35320,1595,1435,2019,Auto,28463,31849,90,1,131777
Toyota,Suv,2019,11,1888,3092,13170,32000,1210,67046,41805,1998,1695,2019,Auto,35785,42099,170,1,132800
Mercedes-Benz,Hatchback,2016,6,3148,1835,12750,45000,740,38459,47300,1595,1395,2015,Auto,23253,19555,90,1,73888
Nissan,Hatchback,2017,5,2813,2166,9250,38000,508,36047,51106,1197,1265,2017,Auto,17532,7532,85,1,58800
Hyundai,Mid-Sized Sedan,2016,9,3043,1938,9020,35200,738,35349,50000,1591,1345,2016,Auto,11680,11680,93,1,53800
Mazda,Suv,2019,5,2073,2906,9290,31000,1210,51345,48010,1998,1290,2018,Auto,17389,17389,115,1,82800
Mercedes-Benz,Sports Car,2012,10,4482,135,51050,71000,7404,64453,80001,6208,1730,2012,Auto,97182,97182,336,4,118800
Toyota,Luxury Sedan,2012,7,4565,24,15470,127000,1210,22435,85889,1998,1445,2012,Auto,23475,23475,109,2,29500
Bmw,Luxury Sedan,2012,7,4565,24,19140,138000,1210,28726,86999,1997,1420,2012,Auto,35065,35065,135,1,39500
Toyota,Suv,2020,9,1583,3397,8510,13000,392,45613,38504,996,970,2020,Auto,22129,12981,72,1,85800
Kia,Mid-Sized Sedan,2018,11,2269,2711,8710,34805,738,31283,28000,1591,1287,2018,Auto,13931,13931,93,1,71800
Mitsubishi,Suv,2016,8,3089,1893,11090,108388,1636,47384,56000,2360,1530,2016,Auto,23152,24413,123,1,69800
Volkswagen,Mid-Sized Sedan,2016,4,3214,1765,9430,47088,620,37597,45504,1390,1417,2015,Auto,21562,22187,90,2,56800
Hyundai,Mid-Sized Sedan,2020,8,1619,3362,8620,15000,738,46854,35710,1591,1345,2019,Auto,18576,18576,93,1,88800
Mercedes-Benz,Luxury Sedan,2018,4,2477,2502,18320,57000,1202,79698,37605,1991,1605,2018,Auto,55451,71812,135,1,161800
Mazda,Suv,2019,12,1860,3120,9900,34000,1210,45278,37989,1998,1290,2018,Auto,21515,22121,115,1,95800
Honda,Suv,2017,4,2858,2122,11510,79800,1628,56199,53300,2354,1574,2016,Auto,29670,33538,140,1,83800
Mercedes-Benz,Luxury Sedan,2010,1,5500,3130,9080,110600,1169,33917,39463,1796,1615,2009,Auto,51194,51194,135,3,78000
Toyota,Luxury Sedan,2016,7,3121,1832,11850,73000,1792,53860,57010,2494,1475,2016,Auto,29296,33015,133,2,77000
Honda,Hatchback,2020,8,1615,3366,6840,7530,78,21436,18710,1317,1030,2019,Auto,15555,5555,73,1,65888
Bmw,Mpv,2017,9,2680,2301,12780,61989,684,51260,42902,1499,1480,2017,Auto,28741,32238,75,1,96800
Hyundai,Mid-Sized Sedan,2017,8,2729,2253,13340,95000,738,36739,44002,1591,1345,2017,Auto,12739,12739,93,1,88800
Honda,Suv,2019,6,2056,2927,9450,30000,682,37109,33199,1496,1190,2019,Auto,22826,13957,96,1,82800
Mercedes-Benz,Luxury Sedan,2012,3,4689,292,21830,135000,742,19730,56551,1597,1500,2012,Auto,30319,30319,115,3,32800
Hyundai,Suv,2019,6,2056,2927,11860,21200,738,49319,39728,1591,1594,2019,Auto,22322,23251,130,1,106800
Land Rover,Suv,2019,2,2162,2816,24480,62000,1210,97287,36667,1997,1983,2018,Auto,67378,93281,184,1,236000
Bmw,Sports Car,2016,4,3212,1767,35500,42000,4568,139645,47000,4395,1850,2012,Auto,108276,166897,412,4,255800
Mercedes-Benz,Sports Car,2021,1,1469,3509,82690,156,3922,344516,49489,3982,1650,2020,Auto,241799,407239,430,1,999888
Bmw,Suv,2020,10,1552,3428,20150,6500,1210,76074,40301,1998,1730,2019,Auto,47571,58600,135,1,218800
Mazda,Suv,2019,4,2105,2874,8050,6380,710,37239,31000,1998,1290,2018,Auto,17038,17038,115,1,72000
Subaru,Suv,2019,9,1966,3015,12180,32000,1208,43321,36001,1995,1591,2019,Auto,18058,18058,115,1,109800
Bmw,Mpv,2020,12,1491,3488,12260,4827,684,62031,32699,1499,1490,2020,Auto,34989,40985,80,1,137800
Mazda,Mpv,2017,5,2815,2164,10300,63000,1210,47627,55414,1998,1535,2017,Auto,19597,19597,111,1,70999
Nissan,Hatchback,2018,11,2253,2727,7920,47000,508,29048,33798,1198,1048,2018,Auto,13438,5000,58,1,61800
Nissan,Mid-Sized Sedan,2018,11,2255,2725,8780,5269,742,30858,25000,1598,1205,2018,Auto,16212,16212,85,1,73800
Toyota,Mid-Sized Sedan,2016,4,3219,1760,8880,126000,682,28391,45000,1496,1090,2015,Auto,14472,9472,80,3,47700
Mercedes-Benz,Sports Car,2018,8,2359,2623,24730,39152,1202,96718,32809,1991,1780,2017,Auto,69867,97761,180,1,226800
Mercedes-Benz,Luxury Sedan,2018,2,2529,2449,16610,23958,740,61567,42322,1595,1425,2017,Auto,37239,44135,115,1,133800
Bmw,Suv,2020,12,1507,3472,22120,8201,1210,86739,39500,1998,1745,2020,Auto,56781,74206,185,1,247800
Mercedes-Benz,Sports Car,2021,5,1345,3633,25200,88,1202,145777,58089,1991,1855,2020,Auto,80639,117151,200,1,309800
Mercedes-Benz,Hatchback,2019,7,2014,2939,14130,10000,586,57498,39728,1332,1405,2019,Auto,29676,33547,100,1,131800
Bmw,Suv,2012,7,4569,20,16960,111000,1210,28620,86999,1997,1510,2011,Auto,35029,35029,135,4,36800
Toyota,Mpv,2011,7,4944,1815,9590,80000,976,24790,24858,1798,1360,2011,Auto,21503,21503,106,2,47800
Hyundai,Mid-Sized Sedan,2019,10,1933,3048,8650,30800,738,39595,34001,1591,1345,2019,Auto,14886,14886,93,1,79800
Volvo,Stationwagon,2016,11,2987,1993,11560,75559,684,51220,50951,1498,1630,2016,Auto,27946,31125,90,1,78800
Toyota,Mid-Sized Sedan,2009,2,5817,2813,6080,121965,965,19877,25727,1598,1195,2009,Auto,16990,16990,80,5,46998
Mercedes-Benz,Luxury Sedan,2014,12,3710,1271,16770,80000,1202,61819,72002,1991,1680,2014,Auto,49580,56412,155,1,86800
Mercedes-Benz,Hatchback,2020,1,1825,3154,14440,6700,586,59798,40009,1332,1405,2019,Auto,29676,33547,100,1,141800
Mercedes-Benz,Suv,2021,5,1345,3633,55800,50,3922,219654,52200,3982,2560,2020,Auto,147425,237365,430,1,674988
Mercedes-Benz,Sports Car,2010,2,5473,3158,10810,106000,3797,33002,38071,3498,1825,2007,Auto,58975,58975,200,2,93800
Mitsubishi,Suv,2019,8,2002,2980,8190,25159,710,31666,22406,1998,1365,2018,Auto,17806,17806,110,1,75800
Honda,Sports Car,2008,9,5971,2662,18480,172000,1815,24379,33377,2156,1250,2008,Manual,35251,35251,178,5,135000
Volkswagen,Sports Car,2010,6,5332,3303,9940,158000,1313,30395,33568,1984,1466,2010,Auto,36556,36556,188,5,90000
Honda,Mpv,2009,2,5825,2805,6330,160000,2116,24602,31933,2354,1680,2008,Auto,37136,37136,132,2,48800
Toyota,Mpv,2021,5,1358,3620,16640,35,1792,72546,49778,2493,1940,2018,Auto,39236,46931,134,1,188800
Honda,Mid-Sized Sedan,2018,12,2240,2740,10090,56000,742,36180,28199,1597,1249,2018,Auto,19964,19964,92,1,85888
Lexus,Luxury Sedan,2015,6,3506,1478,16150,107000,1792,57485,71509,2494,1615,2015,Auto,34805,40727,135,1,85800
Mercedes-Benz,Luxury Sedan,2018,6,2409,2574,13960,53000,740,51332,38001,1595,1430,2018,Auto,29059,32683,90,1,114888
Mitsubishi,Sports Car,2010,7,5318,3275,20340,170000,1331,30174,33568,1998,1625,2009,Auto,54313,54313,217,3,182800
Audi,Suv,2016,1,3308,1672,14140,49000,624,48934,54920,1395,1480,2015,Auto,29898,33858,110,1,81888
Bmw,Luxury Sedan,2015,1,3652,1328,15900,95000,1210,59641,75200,1997,1615,2013,Auto,44708,49592,135,2,82880
Toyota,Mpv,2016,12,2960,2020,10250,32800,682,41537,48000,1496,1350,2016,Auto,19893,19893,79,1,66800
Audi,Sports Car,2018,7,2377,2576,17190,45000,1194,61271,31000,1984,1495,2018,Auto,42972,52161,140,3,148888
Honda,Hatchback,2019,11,1902,3078,8570,11810,578,32410,32309,1318,1052,2019,Auto,16826,6826,73,1,75800
Toyota,Mid-Sized Sedan,2019,2,2176,2802,8290,28000,682,30400,25920,1496,1085,2019,Auto,13936,13936,79,1,70800
Mercedes-Benz,Suv,2018,5,2457,2522,13940,17000,740,51990,39903,1595,1435,2018,Auto,28937,32512,90,2,112800
Opel,Hatchback,2017,9,2697,2284,8670,28000,392,30630,42900,999,1188,2017,Auto,19155,5000,77,1,56800
Honda,Mid-Sized Sedan,2018,6,2431,2548,8770,41000,684,40069,38941,1497,1096,2018,Auto,17094,17094,88,2,69888
Honda,Hatchback,2016,5,3192,1787,10240,82336,684,30179,45504,1498,1046,2016,Auto,16198,11198,96,1,55888
Mitsubishi,Mid-Sized Sedan,2018,10,2298,2683,6560,20888,70,11848,11000,1193,940,2018,Auto,13581,5000,59,1,50800
Nissan,Hatchback,2019,11,1889,3091,8050,21439,508,30893,32000,1198,1048,2019,Auto,13465,5000,58,1,70800
Honda,Mpv,2016,11,2990,1990,13190,108000,1630,57179,53001,2356,1855,2016,Auto,32594,37632,129,1,90888
Bmw,Suv,2018,10,2296,2685,14270,26000,684,52812,31301,1499,1430,2018,Auto,34049,39669,103,1,124999
Mercedes-Benz,Luxury Sedan,2021,5,1345,3633,45380,88,2384,198300,60001,2999,2065,2020,Auto,118133,184640,336,1,544800
Volkswagen,Hatchback,2015,11,3352,1629,11600,44000,624,36171,59200,1395,1249,2014,Auto,22740,13836,90,2,58800
Toyota,Suv,2015,6,3519,1465,13420,98000,1196,42593,75000,1986,1610,2014,Auto,25581,17814,111,2,62800
Mini,Hatchback,2018,10,2295,2686,11550,15000,684,30131,25000,1499,1140,2018,Auto,24006,15609,75,1,92900
Hyundai,Mid-Sized Sedan,2015,9,3435,1548,9700,50000,738,34492,56209,1591,1292,2015,Auto,15175,15175,97,1,48800
Bmw,Suv,2020,10,1552,3428,19050,6100,1210,69243,40301,1998,1685,2019,Auto,41033,49447,135,1,203800
Hyundai,Mid-Sized Sedan,2018,9,2331,2650,8600,50000,738,32869,30209,1591,1345,2018,Auto,14538,14538,93,1,69800
Audi,Luxury Sedan,2013,7,4201,753,23040,83000,2380,90260,76802,2995,1880,2012,Auto,83962,123132,213,2,111000
Toyota,Suv,2017,8,2716,2266,13600,39000,1210,59919,49802,1998,1695,2017,Auto,33308,38632,170,3,103800
Honda,Hatchback,2020,2,1801,3177,8000,9012,578,33010,32999,1317,1030,2019,Auto,15632,5632,73,1,72588
Mercedes-Benz,Luxury Sedan,2017,2,2900,2078,28150,70000,2382,127286,46229,2996,1940,2016,Auto,90290,134522,200,1,228000
Mazda,Hatchback,2018,3,2506,2474,8580,41500,182,30122,38830,1496,1068,2017,Auto,14481,5000,85,1,60800
Mercedes-Benz,Hatchback,2016,4,3225,1755,13260,32487,740,34411,43000,1595,1395,2015,Auto,23253,19555,90,1,73700
Mitsubishi,Sports Car,2011,6,4986,3399,14890,146000,1210,32571,34935,1998,1625,2009,Auto,53745,53745,217,5,138800
Hyundai,Mid-Sized Sedan,2012,3,4717,262,14090,120000,738,11111,52809,1591,1267,2012,Auto,14495,14495,95,1,17555
Honda,Hatchback,2017,3,2862,2118,9550,56000,684,39210,50789,1498,1046,2016,Auto,17910,12910,96,2,62000
Mercedes-Benz,Sports Car,2014,4,3929,1051,20560,50000,1202,50500,73810,1991,1615,2013,Auto,47595,48633,135,2,83800
Honda,Hatchback,2019,11,1888,3092,8070,24000,578,29381,27000,1317,1030,2019,Auto,18629,8629,73,2,72800
Hyundai,Suv,2019,12,1875,3105,11740,18000,738,46991,37900,1591,1594,2019,Auto,19598,19598,130,1,109800
Bmw,Luxury Sedan,2013,1,4384,231,15950,66000,742,27691,91010,1598,1405,2012,Auto,33146,23146,100,1,37800
Volkswagen,Sports Car,2010,12,5161,3399,7490,142000,682,30897,33140,1390,1285,2010,Auto,26423,26423,118,4,69800
Mazda,Mid-Sized Sedan,2018,12,2228,2752,8790,21000,682,28549,23568,1496,1310,2018,Auto,14329,14329,88,1,73588
Bmw,Luxury Sedan,2013,3,4325,291,15290,68000,742,27414,64209,1598,1405,2013,Auto,33404,28766,100,1,41988
Bmw,Hatchback,2015,9,3409,1573,12850,72000,684,44060,62101,1499,1360,2015,Auto,26883,24637,100,3,67800
Toyota,Mid-Sized Sedan,2019,5,2080,2899,8530,35000,682,36764,33199,1496,1085,2019,Auto,13788,13788,79,1,74800
