Brand,Type,Reg_year,Coe_left,Depreciation,Mileage,Dereg_Value,COE,Engine_Capacity,Curb_Weight,Manufactured,Transmission,OMV,Power,Number_of_Owners,Price
Subaru,Suv,2020,3220,11950,8500,40944,37989,1995,1591,2019,Auto,16322,115,1,113777
Mitsubishi,Mid-Sized Sedan,2007,114,8950,216176,5809,22041,1584,1162,2007,Manual,11060,79,3,11800
Mercedes-Benz,Suv,2020,3143,13430,19000,54359,35320,1595,1435,2019,Auto,28463,90,1,131777
Toyota,Suv,2019,3092,13170,32000,67046,41805,1998,1695,2019,Auto,35785,170,1,132800
Mercedes-Benz,Hatchback,2016,1835,12750,45000,38459,47300,1595,1395,2015,Auto,23253,90,1,73888
Nissan,Hatchback,2017,2166,9250,38000,36047,51106,1197,1265,2017,Auto,17532,85,1,58800
Hyundai,Mid-Sized Sedan,2016,1938,9020,35200,35349,50000,1591,1345,2016,Auto,11680,93,1,53800
Mazda,Suv,2019,2906,9290,31000,51345,48010,1998,1290,2018,Auto,17389,115,1,82800
Mercedes-Benz,Sports Car,2012,135,51050,71000,64453,80001,6208,1730,2012,Auto,97182,336,4,118800
Toyota,Luxury Sedan,2012,24,15470,127000,22435,85889,1998,1445,2012,Auto,23475,109,2,29500
Bmw,Luxury Sedan,2012,24,19140,138000,28726,86999,1997,1420,2012,Auto,35065,135,1,39500
Toyota,Suv,2020,3397,8510,13000,45613,38504,996,970,2020,Auto,22129,72,1,85800
Kia,Mid-Sized Sedan,2018,2711,8710,34805,31283,28000,1591,1287,2018,Auto,13931,93,1,71800
Mitsubishi,Suv,2016,1893,11090,108388,47384,56000,2360,1530,2016,Auto,23152,123,1,69800
Volkswagen,Mid-Sized Sedan,2016,1765,9430,47088,37597,45504,1390,1417,2015,Auto,21562,90,2,56800
Hyundai,Mid-Sized Sedan,2020,3362,8620,15000,46854,35710,1591,1345,2019,Auto,18576,93,1,88800
Mercedes-Benz,Luxury Sedan,2018,2502,18320,57000,79698,37605,1991,1605,2018,Auto,55451,135,1,161800
Mazda,Suv,2019,3120,9900,34000,45278,37989,1998,1290,2018,Auto,21515,115,1,95800
Honda,Suv,2017,2122,11510,79800,56199,53300,2354,1574,2016,Auto,29670,140,1,83800
Mercedes-Benz,Luxury Sedan,2010,3130,9080,110600,33917,39463,1796,1615,2009,Auto,51194,135,3,78000
Toyota,Luxury Sedan,2016,1832,11850,73000,53860,57010,2494,1475,2016,Auto,29296,133,2,77000
Honda,Hatchback,2020,3366,6840,7530,21436,18710,1317,1030,2019,Auto,15555,73,1,65888
Bmw,Mpv,2017,2301,12780,61989,51260,42902,1499,1480,2017,Auto,28741,75,1,96800
Hyundai,Mid-Sized Sedan,2017,2253,13340,95000,36739,44002,1591,1345,2017,Auto,12739,93,1,88800
Honda,Suv,2019,2927,9450,30000,37109,33199,1496,1190,2019,Auto,22826,96,1,82800
Mercedes-Benz,Luxury Sedan,2012,292,21830,135000,19730,56551,1597,1500,2012,Auto,30319,115,3,32800
Hyundai,Suv,2019,2927,11860,21200,49319,39728,1591,1594,2019,Auto,22322,130,1,106800
Land Rover,Suv,2019,2816,24480,62000,97287,36667,1997,1983,2018,Auto,67378,184,1,236000
Bmw,Sports Car,2016,1767,35500,42000,139645,47000,4395,1850,2012,Auto,108276,412,4,255800
Mercedes-Benz,Sports Car,2021,3509,82690,156,344516,49489,3982,1650,2020,Auto,241799,430,1,999888
Bmw,Suv,2020,3428,20150,6500,76074,40301,1998,1730,2019,Auto,47571,135,1,218800
Mazda,Suv,2019,2874,8050,6380,37239,31000,1998,1290,2018,Auto,17038,115,1,72000
Subaru,Suv,2019,3015,12180,32000,43321,36001,1995,1591,2019,Auto,18058,115,1,109800
Bmw,Mpv,2020,3488,12260,4827,62031,32699,1499,1490,2020,Auto,34989,80,1,137800
Mazda,Mpv,2017,2164,10300,63000,47627,55414,1998,1535,2017,Auto,19597,111,1,70999
Nissan,Hatchback,2018,2727,7920,47000,29048,33798,1198,1048,2018,Auto,13438,58,1,61800
Nissan,Mid-Sized Sedan,2018,2725,8780,5269,30858,25000,1598,1205,2018,Auto,16212,85,1,73800
Toyota,Mid-Sized Sedan,2016,1760,8880,126000,28391,45000,1496,1090,2015,Auto,14472,80,3,47700
Mercedes-Benz,Sports Car,2018,2623,24730,39152,96718,32809,1991,1780,2017,Auto,69867,180,1,226800
Mercedes-Benz,Luxury Sedan,2018,2449,16610,23958,61567,42322,1595,1425,2017,Auto,37239,115,1,133800
Bmw,Suv,2020,3472,22120,8201,86739,39500,1998,1745,2020,Auto,56781,185,1,247800
Mercedes-Benz,Sports Car,2021,3633,25200,88,145777,58089,1991,1855,2020,Auto,80639,200,1,309800
Mercedes-Benz,Hatchback,2019,2939,14130,10000,57498,39728,1332,1405,2019,Auto,29676,100,1,131800
Bmw,Suv,2012,20,16960,111000,28620,86999,1997,1510,2011,Auto,35029,135,4,36800
Toyota,Mpv,2011,1815,9590,80000,24790,24858,1798,1360,2011,Auto,21503,106,2,47800
Hyundai,Mid-Sized Sedan,2019,3048,8650,30800,39595,34001,1591,1345,2019,Auto,14886,93,1,79800
Volvo,Stationwagon,2016,1993,11560,75559,51220,50951,1498,1630,2016,Auto,27946,90,1,78800
Toyota,Mid-Sized Sedan,2009,2813,6080,121965,19877,25727,1598,1195,2009,Auto,16990,80,5,46998
Mercedes-Benz,Luxury Sedan,2014,1271,16770,80000,61819,72002,1991,1680,2014,Auto,49580,155,1,86800
Mercedes-Benz,Hatchback,2020,3154,14440,6700,59798,40009,1332,1405,2019,Auto,29676,100,1,141800
Mercedes-Benz,Suv,2021,3633,55800,50,219654,52200,3982,2560,2020,Auto,147425,430,1,674988
Mercedes-Benz,Sports Car,2010,3158,10810,106000,33002,38071,3498,1825,2007,Auto,58975,200,2,93800
Mitsubishi,Suv,2019,2980,8190,25159,31666,22406,1998,1365,2018,Auto,17806,110,1,75800
Honda,Sports Car,2008,2662,18480,172000,24379,33377,2156,1250,2008,Manual,35251,178,5,135000
Volkswagen,Sports Car,2010,3303,9940,158000,30395,33568,1984,1466,2010,Auto,36556,188,5,90000
Honda,Mpv,2009,2805,6330,160000,24602,31933,2354,1680,2008,Auto,37136,132,2,48800
Toyota,Mpv,2021,3620,16640,35,72546,49778,2493,1940,2018,Auto,39236,134,1,188800
Honda,Mid-Sized Sedan,2018,2740,10090,56000,36180,28199,1597,1249,2018,Auto,19964,92,1,85888
Lexus,Luxury Sedan,2015,1478,16150,107000,57485,71509,2494,1615,2015,Auto,34805,135,1,85800
Mercedes-Benz,Luxury Sedan,2018,2574,13960,53000,51332,38001,1595,1430,2018,Auto,29059,90,1,114888
Mitsubishi,Sports Car,2010,3275,20340,170000,30174,33568,1998,1625,2009,Auto,54313,217,3,182800
Audi,Suv,2016,1672,14140,49000,48934,54920,1395,1480,2015,Auto,29898,110,1,81888
Bmw,Luxury Sedan,2015,1328,15900,95000,59641,75200,1997,1615,2013,Auto,44708,135,2,82880
Toyota,Mpv,2016,2020,10250,32800,41537,48000,1496,1350,2016,Auto,19893,79,1,66800
Audi,Sports Car,2018,2576,17190,45000,61271,31000,1984,1495,2018,Auto,42972,140,3,148888
Honda,Hatchback,2019,3078,8570,11810,32410,32309,1318,1052,2019,Auto,16826,73,1,75800
Toyota,Mid-Sized Sedan,2019,2802,8290,28000,30400,25920,1496,1085,2019,Auto,13936,79,1,70800
Mercedes-Benz,Suv,2018,2522,13940,17000,51990,39903,1595,1435,2018,Auto,28937,90,2,112800
Opel,Hatchback,2017,2284,8670,28000,30630,42900,999,1188,2017,Auto,19155,77,1,56800
Honda,Mid-Sized Sedan,2018,2548,8770,41000,40069,38941,1497,1096,2018,Auto,17094,88,2,69888
Honda,Hatchback,2016,1787,10240,82336,30179,45504,1498,1046,2016,Auto,16198,96,1,55888
Mitsubishi,Mid-Sized Sedan,2018,2683,6560,20888,11848,11000,1193,940,2018,Auto,13581,59,1,50800
Nissan,Hatchback,2019,3091,8050,21439,30893,32000,1198,1048,2019,Auto,13465,58,1,70800
Honda,Mpv,2016,1990,13190,108000,57179,53001,2356,1855,2016,Auto,32594,129,1,90888
Bmw,Suv,2018,2685,14270,26000,52812,31301,1499,1430,2018,Auto,34049,103,1,124999
Mercedes-Benz,Luxury Sedan,2021,3633,45380,88,198300,60001,2999,2065,2020,Auto,118133,336,1,544800
Volkswagen,Hatchback,2015,1629,11600,44000,36171,59200,1395,1249,2014,Auto,22740,90,2,58800
Toyota,Suv,2015,1465,13420,98000,42593,75000,1986,1610,2014,Auto,25581,111,2,62800
Mini,Hatchback,2018,2686,11550,15000,30131,25000,1499,1140,2018,Auto,24006,75,1,92900
Hyundai,Mid-Sized Sedan,2015,1548,9700,50000,34492,56209,1591,1292,2015,Auto,15175,97,1,48800
Bmw,Suv,2020,3428,19050,6100,69243,40301,1998,1685,2019,Auto,41033,135,1,203800
Hyundai,Mid-Sized Sedan,2018,2650,8600,50000,32869,30209,1591,1345,2018,Auto,14538,93,1,69800
Audi,Luxury Sedan,2013,753,23040,83000,90260,76802,2995,1880,2012,Auto,83962,213,2,111000
Toyota,Suv,2017,2266,13600,39000,59919,49802,1998,1695,2017,Auto,33308,170,3,103800
Honda,Hatchback,2020,3177,8000,9012,33010,32999,1317,1030,2019,Auto,15632,73,1,72588
Mercedes-Benz,Luxury Sedan,2017,2078,28150,70000,127286,46229,2996,1940,2016,Auto,90290,200,1,228000
Mazda,Hatchback,2018,2474,8580,41500,30122,38830,1496,1068,2017,Auto,14481,85,1,60800
Mercedes-Benz,Hatchback,2016,1755,13260,32487,34411,43000,1595,1395,2015,Auto,23253,90,1,73700
Mitsubishi,Sports Car,2011,3399,14890,146000,32571,34935,1998,1625,2009,Auto,53745,217,5,138800
Hyundai,Mid-Sized Sedan,2012,262,14090,120000,11111,52809,1591,1267,2012,Auto,14495,95,1,17555
Honda,Hatchback,2017,2118,9550,56000,39210,50789,1498,1046,2016,Auto,17910,96,2,62000
Mercedes-Benz,Sports Car,2014,1051,20560,50000,50500,73810,1991,1615,2013,Auto,47595,135,2,83800
Honda,Hatchback,2019,3092,8070,24000,29381,27000,1317,1030,2019,Auto,18629,73,2,72800
Hyundai,Suv,2019,3105,11740,18000,46991,37900,1591,1594,2019,Auto,19598,130,1,109800
Bmw,Luxury Sedan,2013,231,15950,66000,27691,91010,1598,1405,2012,Auto,33146,100,1,37800
Volkswagen,Sports Car,2010,3399,7490,142000,30897,33140,1390,1285,2010,Auto,26423,118,4,69800
Mazda,Mid-Sized Sedan,2018,2752,8790,21000,28549,23568,1496,1310,2018,Auto,14329,88,1,73588
Bmw,Luxury Sedan,2013,291,15290,68000,27414,64209,1598,1405,2013,Auto,33404,100,1,41988
Bmw,Hatchback,2015,1573,12850,72000,44060,62101,1499,1360,2015,Auto,26883,100,3,67800
Toyota,Mid-Sized Sedan,2019,2899,8530,35000,36764,33199,1496,1085,2019,Auto,13788,79,1,74800
Honda,Mpv,2007,303,10110,170600,4374,26004,1799,1350,2007,Auto,19024,103,4,8500
Volvo,Luxury Sedan,2017,2053,16790,66000,63277,52807,1969,1716,2016,Auto,37621,187,2,117000
Subaru,Mpv,2010,2817,8010,175000,24707,31933,1994,1590,2008,Auto,35867,165,4,62000
Volkswagen,Sports Car,2012,84,15340,110000,22865,68656,1390,1285,2012,Auto,26183,118,3,32000
Mercedes-Benz,Sports Car,2008,2504,8710,195502,28113,40881,1796,1675,2007,Auto,62252,135,6,59888
Bmw,Luxury Sedan,2010,3269,8250,155000,30119,33568,2497,1650,2010,Auto,45032,150,4,74000
Volkswagen,Hatchback,2011,203,31090,28000,14300,52392,1390,1241,2011,Auto,22686,90,2,28888
Audi,Luxury Sedan,2013,872,17820,16639,45323,87910,1984,1565,2013,Auto,38181,132,2,62900
Mercedes-Benz,Luxury Sedan,2019,3033,16450,25000,68186,37000,1332,1410,2019,Auto,41333,100,1,161800
Bmw,Sports Car,2010,3200,14330,60000,31098,35416,3999,1830,2008,Auto,105658,308,3,125800
Skoda,Mid-Sized Sedan,2019,3064,13750,14000,51129,40000,1984,1577,2018,Auto,26300,180,1,129999
Subaru,Suv,2018,2670,11830,23000,22814,14000,1998,1682,2018,Auto,16744,177,1,95018
Audi,Suv,2016,1747,13960,60000,47701,50089,1395,1480,2016,Auto,29869,110,2,83888
Bmw,Suv,2017,2257,18500,59000,65156,53711,1997,1680,2017,Auto,36108,135,1,135800
Honda,Hatchback,2019,2944,8320,24000,27559,29159,1317,1030,2019,Auto,15365,73,1,69800
Nissan,Suv,2017,2206,11920,58300,50126,50110,1997,1626,2017,Auto,24596,106,1,85300
Mercedes-Benz,Luxury Sedan,2018,2475,19790,75000,89541,42661,1991,1615,2017,Auto,60411,155,2,174800
Mercedes-Benz,Luxury Sedan,2020,3375,14750,5500,59387,33000,1497,1505,2020,Auto,33169,95,1,155800
Bmw,Luxury Sedan,2020,3304,19030,17000,72875,32500,1998,1540,2019,Auto,51807,135,1,205000
Maserati,Luxury Sedan,2017,2272,32000,24000,159576,50000,2979,1900,2013,Auto,110700,302,2,285000
Toyota,Mpv,2009,1165,8510,138000,12769,19968,1797,1340,2009,Auto,21599,106,4,27200
Toyota,Mpv,2014,1155,13210,113000,45034,69001,2362,1790,2013,Auto,31278,125,2,59800
Honda,Stationwagon,2018,2486,9810,41505,33860,38830,1496,1130,2017,Auto,19813,97,2,71888
Mazda,Mid-Sized Sedan,2015,1626,9800,96000,32031,56001,1496,1321,2015,Auto,15032,88,1,48800
Bmw,Luxury Sedan,2015,1463,24050,96500,101778,65501,2979,1845,2014,Auto,75053,235,3,152000
Porsche,Sports Car,2017,2100,64400,25000,324348,50621,3996,1995,2016,Auto,234198,404,3,568000
Toyota,Mid-Sized Sedan,2016,2021,9900,57388,41088,49751,1598,1205,2016,Auto,17982,90,1,63888
Honda,Luxury Sedan,2009,2846,6880,145000,25790,33018,1997,1505,2008,Auto,33066,115,2,53777
Toyota,Mpv,2008,2574,6800,178000,26752,37906,1794,1310,2008,Auto,18803,97,2,48000
Bmw,Luxury Sedan,2012,80,30070,126000,39984,92700,2979,1520,2012,Auto,52104,225,2,62800
Mercedes-Benz,Luxury Sedan,2015,1443,16720,58000,61436,78001,1991,1655,2014,Auto,42793,135,1,89800
Nissan,Suv,2016,1846,10100,58000,37522,53000,1197,1285,2016,Auto,18689,85,1,58800
Mazda,Hatchback,2016,1789,8600,90000,27083,47889,1496,1036,2016,Auto,15064,85,2,44800
Volvo,Suv,2021,3627,14990,1889,72560,62100,1969,1695,2020,Auto,28316,140,1,165000
Maserati,Luxury Sedan,2017,2363,30540,30000,153767,48005,2979,1900,2017,Auto,106418,257,2,279800
Honda,Sports Car,2007,2301,12990,212000,31786,50355,1998,1390,2007,Manual,23604,162,3,82000
Mini,Sports Car,2014,1119,16410,73400,50260,80710,1598,1335,2013,Auto,33001,135,2,70800
Mazda,Mid-Sized Sedan,2015,1600,10090,83620,33783,56209,1496,1321,2015,Auto,17996,88,1,50800
Kia,Mid-Sized Sedan,2019,3056,8320,22100,35668,31759,1591,1287,2019,Auto,12057,93,1,75800
Nissan,Suv,2015,1627,10320,49667,34413,56001,1197,1285,2015,Auto,18413,85,1,52800
Mazda,Mid-Sized Sedan,2015,1483,10900,90646,28301,61000,1496,1321,2015,Auto,14720,88,1,46800
Audi,Suv,2016,1998,16260,30791,63617,56340,1984,1845,2016,Auto,36901,132,2,111000
Bmw,Luxury Sedan,2012,191,20170,81262,31920,86889,1997,1420,2012,Auto,35829,135,2,48800
Bmw,Luxury Sedan,2011,3609,10180,122141,46862,47316,2979,1700,2011,Auto,66259,225,3,100800
Mitsubishi,Suv,2016,1815,12220,24000,41315,49602,2360,1530,2016,Auto,22635,123,1,72800
Honda,Hatchback,2019,2857,8010,22000,27325,29159,1317,1030,2018,Auto,15937,73,1,65800
Kia,Hatchback,2012,262,13990,123000,10738,57009,1591,1261,2011,Auto,13135,91,3,16800
Toyota,Suv,2019,3010,15640,36183,60841,39728,2694,1875,2019,Auto,32425,122,1,147800
Mercedes-Benz,Suv,2020,3218,24030,14700,83938,32801,1991,1795,2019,Auto,56277,190,1,248800
Audi,Suv,2016,1720,25120,86521,79653,46970,1984,2050,2015,Auto,61144,185,1,159800
Honda,Mpv,2017,2376,13790,63000,60322,53711,2356,1855,2017,Auto,29808,129,1,106800
Lexus,Luxury Sedan,2019,2840,16140,41000,62856,35310,2487,1620,2018,Auto,39999,152,1,149800
Toyota,Suv,2018,2574,13070,25187,53160,37989,1998,1695,2018,Auto,30808,170,1,109800
Toyota,Mpv,2008,2729,6650,115200,24060,32121,1794,1310,2008,Auto,18803,97,2,49800
Mercedes-Benz,Luxury Sedan,2018,2415,15340,49000,63128,45289,1595,1425,2017,Auto,37239,115,1,123800
Honda,Hatchback,2019,3003,8170,23000,30084,31917,1317,1030,2019,Auto,15064,73,1,69800
Toyota,Mid-Sized Sedan,2018,2501,8300,63000,36381,38000,1496,1085,2018,Auto,13707,79,2,63888
Kia,Mid-Sized Sedan,2019,2853,8560,75176,30406,25689,1591,1287,2018,Auto,13722,93,1,73888
Toyota,Mid-Sized Sedan,2009,3020,6010,111600,24428,29485,1598,1195,2009,Auto,17853,80,3,49800
Toyota,Mpv,2009,2879,7080,128402,27989,35411,1797,1340,2009,Auto,21562,106,5,55998
Mazda,Suv,2020,3355,12560,4300,48923,36502,1998,1576,2019,Auto,24580,121,1,128800
Toyota,Mpv,2015,1534,11500,73858,42967,60789,1798,1360,2015,Auto,23454,105,1,60800
Mazda,Mid-Sized Sedan,2013,748,11270,134586,22965,66989,1598,1275,2012,Auto,17418,77,2,31800
Nissan,Suv,2016,1780,10190,51000,32913,47300,1197,1285,2016,Auto,18974,85,1,56800
Nissan,Suv,2019,2825,10500,16000,35825,26309,1197,1325,2018,Auto,20399,85,1,91700
Bentley,Luxury Sedan,2017,2202,60960,8500,279445,50110,3993,2417,2017,Auto,199843,373,1,538800
Toyota,Mid-Sized Sedan,2016,1832,10910,60300,41957,53694,1598,1215,2016,Auto,19990,90,1,64800
Nissan,Suv,2017,2361,11480,40000,57332,57414,1997,1626,2017,Auto,24886,106,1,87800
Audi,Luxury Sedan,2017,2083,11460,58912,40612,49430,999,1280,2016,Auto,24592,85,1,73800
Mitsubishi,Mid-Sized Sedan,2017,2166,7060,67000,34679,52000,1193,940,2016,Auto,14052,57,2,44500
Bmw,Suv,2017,2047,19420,71000,66597,52807,1997,1735,2016,Auto,40866,135,1,133800
Porsche,Suv,2015,1663,29520,110373,96448,57501,2997,1940,2015,Auto,72190,250,3,185800
Mazda,Mid-Sized Sedan,2009,2987,6590,128000,24025,29328,1598,1275,2009,Auto,20044,77,5,54000
Toyota,Mid-Sized Sedan,2011,1807,7210,141122,21912,22069,1497,1095,2010,Auto,11891,80,2,35800
Bmw,Mpv,2018,2473,12680,51000,54588,38830,1499,1480,2018,Auto,32596,75,1,104888
Honda,Hatchback,2016,2028,9040,75000,32115,50951,1317,1020,2016,Auto,14535,73,1,52800
Hyundai,Stationwagon,2019,3088,10450,23000,47722,40009,1353,1457,2019,Auto,18424,103,1,97800
Honda,Hatchback,2008,277,8210,159000,6940,19637,1339,1010,2008,Auto,12436,73,4,14500
Bmw,Sports Car,2012,179,76690,109000,52093,90200,3999,1675,2011,Auto,70137,309,2,150000
Toyota,Mpv,2016,1985,9710,60000,36257,50991,1496,1320,2016,Auto,20924,80,1,58555
Mercedes-Benz,Luxury Sedan,2016,1851,16740,70651,53042,49156,1595,1425,2016,Auto,35663,115,1,104800
Bmw,Luxury Sedan,2013,260,16960,110000,37146,92667,1997,1610,2013,Auto,43457,135,1,48500
Toyota,Suv,2016,1820,13860,86000,45232,38610,1986,1610,2015,Auto,32170,111,1,87800
Toyota,Mpv,2018,2506,10580,30722,42422,39903,1798,1355,2017,Auto,19955,105,1,82800
Subaru,Suv,2020,3292,12270,12613,42606,37989,1995,1591,2019,Auto,18515,115,1,120988
Mercedes-Benz,Hatchback,2019,3105,14400,30000,63922,37900,1332,1375,2018,Auto,35837,120,1,143800
Mitsubishi,Mid-Sized Sedan,2016,1838,9100,68000,37444,53694,1590,1284,2016,Auto,13855,86,1,52800
Mitsubishi,Suv,2017,2172,9230,69513,45539,54406,1998,1417,2017,Auto,17452,110,1,63800
Mercedes-Benz,Luxury Sedan,2015,1616,16830,108000,55312,58109,1595,1425,2015,Auto,39409,115,1,95800
Honda,Hatchback,2019,2920,8500,30000,34203,36704,1317,1030,2019,Auto,16011,73,1,71800
Honda,Hatchback,2008,2519,6770,142000,26420,38192,1339,1010,2008,Auto,12035,73,3,46800
Mitsubishi,Suv,2017,2078,12010,70000,48770,52807,2360,1625,2016,Auto,23447,123,1,81000
Toyota,Hatchback,2008,801,8650,132621,7514,17099,1297,1040,2007,Auto,13855,68,4,18998
Kia,Hatchback,2008,760,8320,207000,7402,17099,1591,1303,2008,Auto,10336,89,3,18000
Volkswagen,Hatchback,2019,2816,12090,26000,40258,26301,1395,1270,2018,Auto,24682,92,1,106800
Toyota,Mpv,2016,1921,11540,70000,45018,57010,1798,1360,2016,Auto,19955,105,1,70800
Mitsubishi,Suv,2017,2071,11840,122200,48839,53106,2360,1625,2016,Auto,23447,123,1,79800
Volkswagen,Hatchback,2016,1846,11910,99000,38718,53694,1395,1249,2015,Auto,23854,92,1,67988
Mitsubishi,Suv,2019,2996,11450,33000,47397,40001,1998,1480,2018,Auto,19374,110,1,103800
Honda,Stationwagon,2019,3015,9280,19520,33884,31783,1496,1130,2019,Auto,20091,97,1,81800
Audi,Luxury Sedan,2013,933,14260,115000,43667,77501,1984,1565,2013,Auto,38193,132,1,56800
Honda,Hatchback,2017,2171,9490,45000,40356,51600,1498,1046,2016,Auto,17792,96,1,62999
Mercedes-Benz,Suv,2017,2196,21970,60000,75325,50110,1991,1735,2017,Auto,48334,155,1,163888
Hyundai,Suv,2018,2727,11750,45000,41246,31301,1591,1594,2018,Auto,22683,130,1,99800
Bmw,Luxury Sedan,2017,2135,21810,90700,82788,54405,1998,1540,2017,Auto,53252,185,1,161800
Mercedes-Benz,Luxury Sedan,2011,3609,7670,158402,41878,42283,1597,1500,2011,Auto,31019,115,3,75998
Toyota,Luxury Sedan,2015,1573,11690,84500,47347,60001,1998,1480,2015,Auto,27591,123,1,65800
Honda,Suv,2007,172,11490,173921,7422,25084,1799,1410,2007,Auto,19650,103,5,16998
Toyota,Mpv,2006,1815,6800,158000,22961,46048,1794,1300,2006,Auto,20824,97,3,33888
Mercedes-Benz,Luxury Sedan,2010,3310,8790,132000,30735,33568,1796,1650,2010,Auto,56996,150,3,80500
Audi,Luxury Sedan,2016,1969,14630,41900,63061,56340,1798,1645,2016,Auto,40383,140,1,100800
Mercedes-Benz,Hatchback,2018,2746,14640,17000,51090,31101,1332,1375,2018,Auto,32046,120,1,128800
Mini,Hatchback,2015,1338,15340,77988,41315,62002,1598,1295,2014,Auto,26027,88,1,70700
Bmw,Suv,2020,3428,19100,10799,68404,40301,1998,1685,2019,Auto,40234,135,1,203800
Honda,Mpv,2008,915,9540,112483,6935,13786,1496,1310,2008,Auto,20212,87,4,23999
Mercedes-Benz,Hatchback,2016,1838,12630,53873,45257,52301,1595,1425,2015,Auto,26882,90,1,76988
Mercedes-Benz,Hatchback,2015,1444,13290,60400,31843,57199,1595,1395,2015,Auto,22896,90,2,59800
Mazda,Mid-Sized Sedan,2018,2466,8810,56000,35096,36001,1496,1310,2017,Auto,14299,88,2,66800
Volkswagen,Luxury Sedan,2017,2179,12290,47000,55735,54556,1798,1480,2016,Auto,31374,132,1,88988
Skoda,Suv,2020,3454,12500,3000,57771,41101,1498,1393,2019,Auto,23639,110,1,130988
Audi,Sports Car,2012,292,23680,133000,30971,78000,1984,1550,2011,Auto,49328,155,3,43800
Mercedes-Benz,Luxury Sedan,2020,3365,15690,12500,67094,35001,1332,1385,2020,Auto,38854,120,1,168000
Bmw,Suv,2018,2759,15250,20300,59826,30959,1998,1460,2018,Auto,40395,141,2,139777
Volkswagen,Mpv,2017,2109,13500,67000,57318,46229,1984,1790,2017,Auto,34815,162,1,98500
Toyota,Mpv,2016,1923,10630,33888,33144,46009,1496,1320,2016,Auto,21301,80,1,61999
Bmw,Luxury Sedan,2013,893,13440,102000,33308,72609,1598,1405,2013,Auto,31290,100,3,45900
Mercedes-Benz,Luxury Sedan,2017,2160,19730,63200,91686,54000,1991,1615,2017,Auto,59745,155,1,156800
Nissan,Luxury Sedan,2008,853,8450,180256,7561,16140,1997,1450,2008,Auto,25376,100,3,19800
Bmw,Luxury Sedan,2010,3304,8840,120000,30680,33568,2497,1650,2010,Auto,38161,150,2,80800
Mercedes-Benz,Suv,2019,2929,13370,19500,45790,27000,1595,1435,2019,Auto,28463,90,1,124388
Mazda,Sports Car,2010,3065,13080,134000,31533,37502,1999,1151,2009,Auto,38518,118,5,110000
Volkswagen,Hatchback,2017,2258,11400,15000,36798,46778,1395,1249,2016,Auto,20318,92,1,75800
Bmw,Luxury Sedan,2020,3413,16940,6300,76716,40790,1998,1460,2020,Auto,47796,135,1,188000
Toyota,Mid-Sized Sedan,2015,1540,10670,140000,35828,55889,1598,1205,2015,Auto,17452,90,3,53800
Mercedes-Benz,Suv,2019,2873,13480,17800,44062,26659,1595,1435,2018,Auto,27652,90,1,121688
Honda,Mpv,2009,2879,6640,141000,27989,35411,1799,1350,2008,Auto,21681,103,2,52500
Toyota,Mid-Sized Sedan,2008,174,8080,112000,6236,20997,1496,1130,2007,Auto,13673,81,3,12000
Mercedes-Benz,Luxury Sedan,2017,2195,14450,56000,48858,46489,1595,1430,2017,Auto,28815,90,2,101800
Mitsubishi,Mid-Sized Sedan,2009,1005,8610,143000,7056,12763,1499,1313,2009,Auto,19788,80,3,23800
Kia,Mid-Sized Sedan,2009,1209,7980,216000,9791,14743,1591,1251,2009,Auto,11051,92,6,26500
Bmw,Suv,2018,2759,14620,63200,56439,30851,1499,1415,2018,Auto,37248,103,2,132800
Bmw,Luxury Sedan,2012,323,24940,98232,34952,84590,1997,1620,2012,Auto,54920,180,1,49800
Honda,Stationwagon,2019,2948,8880,42500,28755,26301,1496,1130,2019,Auto,19998,97,1,76800
Kia,Suv,2020,3193,8570,10898,35948,32999,998,1185,2019,Auto,19380,88,1,79800
Honda,Mid-Sized Sedan,2019,3016,10150,7500,41373,31783,1597,1237,2019,Auto,20072,92,1,94000
Suzuki,Hatchback,2007,337,8560,320000,4733,25333,1490,1060,2007,Auto,10917,74,4,8000
Toyota,Suv,2018,2735,13520,31990,52426,32552,1998,1695,2018,Auto,33306,170,1,120800
Opel,Hatchback,2017,2165,8830,90000,34134,51106,999,1188,2017,Auto,19715,77,2,55000
Mini,Suv,2020,3146,13550,33468,58357,35010,1498,1490,2017,Auto,32498,75,1,135800
Kia,Mid-Sized Sedan,2009,1079,8010,160000,8282,13943,1591,1251,2009,Auto,14611,92,4,23800
Citroen,Suv,2018,2569,9380,22953,41490,38830,1199,1203,2018,Auto,18852,81,1,75500
Audi,Luxury Sedan,2015,1592,12230,78552,38941,56001,1395,1310,2015,Auto,27621,92,1,63800
Mercedes-Benz,Luxury Sedan,2016,1958,25490,106500,131055,57002,2996,1940,2016,Auto,89948,200,1,203888
Bmw,Sports Car,2017,2190,22370,42500,71865,49802,1998,1715,2017,Auto,45296,135,1,163800
Lexus,Suv,2008,288,13800,120000,8087,22499,3456,1915,2007,Auto,45986,203,3,24800
Honda,Mid-Sized Sedan,2009,2790,7180,138291,24003,31335,1799,1219,2008,Auto,27503,103,4,54998
Mitsubishi,Mid-Sized Sedan,2008,739,8640,221279,7737,19107,1499,1313,2008,Auto,16230,80,4,17500
Mitsubishi,Sports Car,2009,2985,6330,139655,24009,29328,1468,1160,2009,Auto,22425,113,5,51800
