Brand,Type,Reg_year,Coe_left,Depreciation,Mileage,Dereg_Value,COE,Engine_Capacity,Curb_Weight,Manufactured,Transmission,OMV,Power,Number_of_Owners,Price
Honda,Mpv,2013,754,12010,102000,27349,77000,1799,1370,2013,Auto,18024,103,1,34800
Mazda,Mid-Sized Sedan,2017,2052,9030,80000,34384,48000,1496,1310,2016,Auto,14777,88,2,55800
Honda,Stationwagon,2020,3160,8980,51000,37839,35010,1496,1130,2019,Auto,19962,95,1,82900
Hyundai,Hatchback,2019,3017,9770,31800,39880,31917,1353,1240,2019,Auto,17951,95,1,89800
Subaru,Suv,2017,2179,12810,71220,45419,53001,1998,1682,2017,Auto,18274,177,1,85800
Honda,Hatchback,2018,2527,11950,65000,51009,37010,1498,1322,2017,Auto,29833,127,1,99800
Toyota,Mid-Sized Sedan,2016,1787,9740,50000,35810,47300,1598,1205,2016,Auto,17982,90,1,56800
Lexus,Luxury Sedan,2015,1623,16870,77700,60098,57501,2494,1615,2015,Auto,40884,135,1,99800
Toyota,Mid-Sized Sedan,2016,1787,9740,52000,35810,47300,1598,1205,2016,Auto,17982,90,1,56800
Mazda,Hatchback,2020,3227,8430,5300,34280,38000,1496,1060,2019,Auto,18204,81,1,78800
Toyota,Mid-Sized Sedan,2016,1828,9860,51000,39506,53694,1598,1205,2016,Auto,16800,90,1,57800
Toyota,Mpv,2011,3490,7520,136000,38985,40714,2362,1750,2011,Auto,37052,125,2,72000
Toyota,Mid-Sized Sedan,2016,1828,9880,54000,39506,53694,1598,1205,2016,Auto,16800,90,1,57888
Hyundai,Mid-Sized Sedan,2019,3002,7980,42121,35750,31917,1591,1345,2019,Auto,12631,93,2,72000
Mercedes-Benz,Luxury Sedan,2012,120,18570,82000,26402,73501,1595,1485,2012,Auto,30136,115,2,39900
Toyota,Mid-Sized Sedan,2017,2111,10150,59200,43635,49430,1598,1215,2016,Auto,19990,90,1,68800
Honda,Mid-Sized Sedan,2018,2510,8940,37700,38125,38000,1497,1078,2018,Auto,15908,88,1,69600
Mercedes-Benz,Luxury Sedan,2013,214,17300,170000,40652,86889,1796,1615,2012,Auto,50742,135,1,53000
Kia,Mpv,2009,1236,7360,163000,12730,18751,1998,1597,2009,Auto,17209,108,5,25000
Mercedes-Benz,Luxury Sedan,2012,70,33520,95000,62924,86889,3498,1975,2012,Auto,95928,225,2,88000
Mitsubishi,Hatchback,2017,2271,8240,55000,30404,42801,1193,940,2016,Auto,14804,59,2,53800
Land Rover,Suv,2017,2179,26800,69000,126523,55000,2995,2214,2016,Auto,84912,250,2,222800
Toyota,Luxury Sedan,2009,2760,6440,128088,23902,31553,2362,1540,2008,Auto,27261,123,5,48800
Audi,Sports Car,2010,3430,9660,130000,35954,38216,1984,1735,2010,Auto,57024,155,3,90888
